Fecha,Dia_Compra,Mes_Compra,Anio_Compra,Categoria,Subcategoria,Descripcion,Gatos,Medio_Pago,Cuotas,Monto_Total,Local_Plataforma,Notas
2021-11-06,6.0,11.0,2021.0,Accesorio,Litera/baño,Litera para gatos,Todos,Efectivo,1.0,6800.0,Pet shop,Comprada al llegar Isi y Micky
2023-07-05,5.0,7.0,2023.0,Accesorio,Bebedero,Bebedero automático 1.6L con margarita,Todos,Tarjeta,1.0,22390.0,Mercado Libre,No adjunto FC en ML
2024-03-15,15.0,3.0,2024.0,Accesorio,Bebedero,Bomba de agua sumergible para bebedero,Todos,Tarjeta,1.0,13915.0,Mercado Libre,FCB-0013-00029093
2024-04-10,10.0,4.0,2024.0,Accesorio,Baño,Cat It — alfombra para baño sanitario,Todos,Tarjeta,1.0,8500.0,Mercado Libre,FCB-00006-00028313
2023-07-05,5.0,7.0,2023.0,Accesorio,Bebedero,Bebededo automatico de 1.6 L con margarita,Todos,Tarjeta,1.0,22390.0,ML,No Adjunto la fc en ML
2024-03-06,6.0,3.0,2024.0,Accesorio,Baño,Cat it alfombra para baño sanitario,Todos,Tarjeta,1.0,17884.99,ML,FCB- 00006-00028313
2024-03-06,6.0,3.0,2024.0,Accesorio,Bebedero,Bomba de agua bebedero gatos sumergible,Todos,Tarjeta,1.0,13914.99,ML,FCB-0013-00029093
2024-03-28,28.0,3.0,2024.0,Accesorio,Bebedero,Filtro  Repuesto Flower bebedero  gato catit 1.5 lts pack 2 und,Todos,Tarjeta,1.0,8564.99,ML,FCB-0013-00030524
2024-09-18,18.0,9.0,2024.0,Accesorio,Baño,Filtros x2 para litera cat it desing petit,Todos,Tarjeta,1.0,6550.0,ML,No Adjunto la fc en ML
2025-01-06,6.0,1.0,2025.0,Accesorio,Bebedero,Bomba de agua bebedero gatos sumergible,Todos,Tarjeta,1.0,21189.99,ML,FCB-0012-00204980
